gene;sample;mutated;label;year
Klebsiella;100;4;organism;2005
Leclercia;100;0;organism;2005
Morganella;100;0;organism;2005
Pantoea;100;0;organism;2005
Proteus;100;0;organism;2005
Pseudomonas;100;0;organism;2005
Raoultella;100;0;organism;2005
Salmonella;100;0;organism;2005
Serratia;100;0;organism;2005
CMY;85;0;β-lactamases;2011
CTX-M;85;0;β-lactamases;2011
DHA;85;0;β-lactamases;2011
FOX;85;0;β-lactamases;2011
GES;85;0;β-lactamases;2011
IMP;85;0;β-lactamases;2011
LAP;85;0;β-lactamases;2011
OXA;85;1;β-lactamases;2011
PSE;85;0;β-lactamases;2011
SHV;85;0;β-lactamases;2011
TEM;85;1;β-lactamases;2011
VEB;85;0;β-lactamases;2011
umuC/D;85;2;features;2011
Plasmid-segregation;85;2;features;2011
Toxin-antitoxin;85;2;features;2011
psiA/B;85;0;features;2011
Transposon;85;0;features;2011
Mercuric Res.;85;2;features;2011
Copper Res.;85;0;features;2011
Arsenic Res.;85;0;features;2011
IncA/C;85;0;inc-group;2011
IncA/C2;85;0;inc-group;2011
IncFIA;85;0;inc-group;2011
IncFIB;85;0;inc-group;2011
IncFIC;85;0;inc-group;2011
IncFII;85;0;inc-group;2011
IncHI1A;85;0;inc-group;2011
IncHI1B;85;0;inc-group;2011
IncHI2;85;0;inc-group;2011
IncL/M;85;0;inc-group;2011
IncN;85;0;inc-group;2011
IncN2;85;0;inc-group;2011
IncN3;85;0;inc-group;2011
IncP;85;0;inc-group;2011
IncQ1;85;0;inc-group;2011
IncU;85;0;inc-group;2011
IncX3;85;0;inc-group;2011
IncY;85;0;inc-group;2011
Acinetobacter;85;0;organism;2011
Aeromonas;85;0;organism;2011
Citrobacter;85;0;organism;2011
Enterobacter;85;0;organism;2011
Escherichia;85;0;organism;2011
Klebsiella;85;4;organism;2011
Leclercia;85;0;organism;2011
Morganella;85;0;organism;2011
Pantoea;85;0;organism;2011
Proteus;85;0;organism;2011
Pseudomonas;85;0;organism;2011
Raoultella;85;0;organism;2011
Salmonella;85;0;organism;2011
Serratia;85;0;organism;2011
CMY;129;0;β-lactamases;2016
CTX-M;129;0;β-lactamases;2016
DHA;129;0;β-lactamases;2016
FOX;129;0;β-lactamases;2016
GES;129;0;β-lactamases;2016
IMP;129;0;β-lactamases;2016
LAP;129;0;β-lactamases;2016
OXA;129;0;β-lactamases;2016
PSE;129;0;β-lactamases;2016
SHV;129;0;β-lactamases;2016
TEM;129;0;β-lactamases;2016
VEB;129;0;β-lactamases;2016
umuC/D;129;0;features;2016
Plasmid-segregation;129;0;features;2016
Toxin-antitoxin;129;2;features;2016
psiA/B;129;0;features;2016
Transposon;129;2;features;2016
Mercuric Res.;129;0;features;2016
Copper Res.;129;0;features;2016
Arsenic Res.;129;0;features;2016
IncA/C;129;0;inc-group;2016
IncA/C2;129;0;inc-group;2016
IncFIA;129;0;inc-group;2016
IncFIB;129;0;inc-group;2016
IncFIC;129;0;inc-group;2016
